Id,SkuId,ArchiveId,Name,IsMain,Label,Url
,1,,Color-WHITE-Size-6,true,Color-WHITE-Size-6,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg
,2,,Color-WHITE-Size-65,false,Color-WHITE-Size-65,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg
,2,,Color-WHITE-Size-65,false,Color-WHITE-Size-65,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg
,2,,Color-WHITE-Size-65,false,Color-WHITE-Size-65,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg
,3,,Color-WHITE-Size-7,false,Color-WHITE-Size-7,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg
,4,,Color-WHITE-Size-75,false,Color-WHITE-Size-75,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg
,5,,Color-WHITE-Size-8,false,Color-WHITE-Size-8,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg
,6,,Color-WHITE-Size-85,false,Color-WHITE-Size-85,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg
,7,,Color-WHITE-Size-9,false,Color-WHITE-Size-9,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg
,8,,Color-WHITE-Size-95,false,Color-WHITE-Size-95,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg
,9,,Color-WHITE-Size-10,false,Color-WHITE-Size-10,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg
,10,,Color-WHITE-Size-105,false,Color-WHITE-Size-105,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg
,11,,Color-WHITE-Size-11,false,Color-WHITE-Size-11,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg
,12,,Color-WHITE-Size-115,false,Color-WHITE-Size-115,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg
,13,,Color-WHITE-Size-12,false,Color-WHITE-Size-12,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg
,14,,Color-BLACK-Size-6,true,Color-BLACK-Size-6,https://i.ibb.co/Tr2MDwd/Ultraboost-Core-Black.jpg
,15,,Color-BLACK-Size-65,false,Color-BLACK-Size-65,https://i.ibb.co/Tr2MDwd/Ultraboost-Core-Black.jpg
,16,,Color-BLACK-Size-7,false,Color-BLACK-Size-7,https://i.ibb.co/Tr2MDwd/Ultraboost-Core-Black.jpg
,17,,Color-BLACK-Size-75,false,Color-BLACK-Size-75,https://i.ibb.co/Tr2MDwd/Ultraboost-Core-Black.jpg
,18,,Color-BLACK-Size-8,false,Color-BLACK-Size-8,https://i.ibb.co/Tr2MDwd/Ultraboost-Core-Black.jpg
,19,,Color-BLACK-Size-85,false,Color-BLACK-Size-85,https://i.ibb.co/Tr2MDwd/Ultraboost-Core-Black.jpg
,20,,Color-BLACK-Size-9,false,Color-BLACK-Size-9,https://i.ibb.co/Tr2MDwd/Ultraboost-Core-Black.jpg
,21,,Color-BLACK-Size-95,false,Color-BLACK-Size-95,https://i.ibb.co/Tr2MDwd/Ultraboost-Core-Black.jpg
,22,,Color-BLACK-Size-10,false,Color-BLACK-Size-10,https://i.ibb.co/Tr2MDwd/Ultraboost-Core-Black.jpg
,23,,Color-BLACK-Size-105,false,Color-BLACK-Size-105,https://i.ibb.co/Tr2MDwd/Ultraboost-Core-Black.jpg
,24,,Color-BLACK-Size-11,false,Color-BLACK-Size-11,https://i.ibb.co/Tr2MDwd/Ultraboost-Core-Black.jpg
,25,,Color-BLACK-Size-115,false,Color-BLACK-Size-115,https://i.ibb.co/Tr2MDwd/Ultraboost-Core-Black.jpg
,26,,Color-BLACK-Size-12,false,Color-BLACK-Size-12,https://i.ibb.co/Tr2MDwd/Ultraboost-Core-Black.jpg
,27,,Color-BEIGE-Size-6,true,Color-BEIGE-Size-6,https://i.ibb.co/khS93Gw/Ultraboost-White-Tint.jpg
,28,,Color-BEIGE-Size-65,false,Color-BEIGE-Size-65,https://i.ibb.co/khS93Gw/Ultraboost-White-Tint.jpg
,29,,Color-BEIGE-Size-7,false,Color-BEIGE-Size-7,https://i.ibb.co/khS93Gw/Ultraboost-White-Tint.jpg
,30,,Color-BEIGE-Size-75,false,Color-BEIGE-Size-75,https://i.ibb.co/khS93Gw/Ultraboost-White-Tint.jpg
,31,,Color-BEIGE-Size-8,false,Color-BEIGE-Size-8,https://i.ibb.co/khS93Gw/Ultraboost-White-Tint.jpg
,32,,Color-BEIGE-Size-85,false,Color-BEIGE-Size-85,https://i.ibb.co/khS93Gw/Ultraboost-White-Tint.jpg
,33,,Color-BEIGE-Size-9,false,Color-BEIGE-Size-9,https://i.ibb.co/khS93Gw/Ultraboost-White-Tint.jpg
,34,,Color-BEIGE-Size-95,false,Color-BEIGE-Size-95,https://i.ibb.co/khS93Gw/Ultraboost-White-Tint.jpg
,35,,Color-BEIGE-Size-10,false,Color-BEIGE-Size-10,https://i.ibb.co/khS93Gw/Ultraboost-White-Tint.jpg
,36,,Color-BEIGE-Size-105,false,Color-BEIGE-Size-105,https://i.ibb.co/khS93Gw/Ultraboost-White-Tint.jpg
,37,,Color-BEIGE-Size-11,false,Color-BEIGE-Size-11,https://i.ibb.co/khS93Gw/Ultraboost-White-Tint.jpg
