FieldValueId,FieldId,Name,Text,IsActive,Position
,840,6,,true,
,840,6.5,,true,
,840,7,,true,
,840,7.5,,true,
,840,8,,true,
,840,8.5,,true,
,840,9,,true,
,840,9.5,,true,
,840,10,,true,
,840,10.5,,true,
,840,11,,true,
,840,11.5,,true,
,840,12,,true,
,841,XS,,true,
,841,S,,true,
,841,M,,true,
,841,L,,true,
,841,XL,,true,
,841,2XS,,true,
,841,XXL,,true,
,841,XXS,,true,
,842,XS,,true,
,842,S,,true,
,842,M,,true,
,842,L,,true,
,842,XL,,true,
,842,24,,true,
,842,25,,true,
,842,26,,true,
,842,27,,true,
,842,28,,true,
,842,29,,true,
,842,30,,true,
,842,31,,true,
,842,32,,true,
,842,33,,true,
,842,34,,true,
,842,XXS,,true,
,842,XXL,,true,
,843,XS,,true,
,843,S,,true,
,843,M,,true,
,843,L,,true,
,843,XL,,true,
,843,4,,true,
,843,6,,true,
,843,8,,true,
,843,10,,true,
,843,12,,true,
,843,14,,true,
,843,16,,true,
,843,18,,true,
,843,XXL,,true,
,843,XXS,,true,
,844,XS,,true,
,844,S,,true,
,844,M,,true,
,844,L,,true,
,844,XL,,true,
,844,XXL,,true,
,844,3XL,,true,
,844,4XL,,true,
,845,XS,,true,
,845,S,,true,
,845,M,,true,
,845,L,,true,
,845,XL,,true,
,845,XXL,,true,
,845,3XL,,true,
,845,28,,true,
,845,30,,true,
,845,32,,true,
,845,34,,true,
,845,36,,true,
,845,29,,true,
,845,31,,true,
,845,33,,true,
,845,35,,true,
,845,38,,true,
,845,40,,true,
,845,42,,true,
,846,6,,true,
,846,6.5,,true,
,846,7,,true,
,846,7.5,,true,
,846,8,,true,
,846,8.5,,true,
,846,9,,true,
,846,9.5,,true,
,846,10,,true,
,846,10.5,,true,
,846,11,,true,
,846,11.5,,true,
,846,12,,true,
,846,12.5,,true,
,846,13,,true,
,846,14,,true,
