Id,ProductId,ProductRefId,IsActive,Name,RefId,ImageUrl,PackagedHeight,PackagedLength,PackagedWidth,PackagedWeightKg,Height,Length,Width,WeightKg,CubicWeight,IsKit,CreationDate,RewardValue,EstimatedDateArrival,ManufacturerCode,CommercialConditionId,MeasurementUnit,UnitMultiplier,ModalType,KitItensSellApart,ActivateIfPossible
,,P000007188,false,Color WHITE Size 6,94124836,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000007188,false,Color WHITE Size 6.5,95397041,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000007188,false,Color WHITE Size 7,96213270,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000007188,false,Color WHITE Size 7.5,81683779,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000007188,false,Color WHITE Size 8,94125192,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000007188,false,Color WHITE Size 8.5,96213294,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000007188,false,Color WHITE Size 9,95938467,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000007188,false,Color WHITE Size 9.5,80579505,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000007188,false,Color WHITE Size 10,94339934,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000007188,false,Color WHITE Size 10.5,94884155,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000007188,false,Color WHITE Size 11,96172908,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000007188,false,Color WHITE Size 11.5,96601179,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000007188,false,Color WHITE Size 12,56361110,https://i.ibb.co/QdC1PHx/Ultraboost-Cloud-White.jpg,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000207797,false,Color BLACK Size 6,95936227,https://i.ibb.co/Tr2MDwd/Ultraboost-Core-Black.jpg,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000207797,false,Color BLACK Size 6.5,95591410,https://i.ibb.co/Tr2MDwd/Ultraboost-Core-Black.jpg,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000207797,false,Color BLACK Size 7,95938416,https://i.ibb.co/Tr2MDwd/Ultraboost-Core-Black.jpg,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000207797,false,Color BLACK Size 7.5,94114344,https://i.ibb.co/Tr2MDwd/Ultraboost-Core-Black.jpg,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000207797,false,Color BLACK Size 8,96049334,https://i.ibb.co/Tr2MDwd/Ultraboost-Core-Black.jpg,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000207797,false,Color BLACK Size 8.5,96405104,https://i.ibb.co/Tr2MDwd/Ultraboost-Core-Black.jpg,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
